"GeoFips","GeoName","LineCode","Description","2016"
"00000","United States","1","RPPs: All items",100.0
"00999","United States (Nonmetropolitan Portion)1/","1","RPPs: All items",87.6
"10180","Abilene, TX (Metropolitan Statistical Area)","1","RPPs: All items",91.5
"10420","Akron, OH (Metropolitan Statistical Area)","1","RPPs: All items",90.0
"10500","Albany, GA (Metropolitan Statistical Area)","1","RPPs: All items",83.3
"10540","Albany, OR (Metropolitan Statistical Area)","1","RPPs: All items",94.6
"10580","Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)","1","RPPs: All items",100.4
"10740","Albuquerque, NM (Metropolitan Statistical Area)","1","RPPs: All items",96.3
"10780","Alexandria, LA (Metropolitan Statistical Area)","1","RPPs: All items",87.9
"10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)","1","RPPs: All items",100.8
"11020","Altoona, PA (Metropolitan Statistical Area)","1","RPPs: All items",90.7
"11100","Amarillo, TX (Metropolitan Statistical Area)","1","RPPs: All items",93.0
"11180","Ames, IA (Metropolitan Statistical Area)","1","RPPs: All items",91.6
"11260","Anchorage, AK (Metropolitan Statistical Area)","1","RPPs: All items",109.2
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","1","RPPs: All items",101.8
"11500","Anniston-Oxford-Jacksonville, AL (Metropolitan Statistical Area)","1","RPPs: All items",83.8
"11540","Appleton, WI (Metropolitan Statistical Area)","1","RPPs: All items",91.9
"11700","Asheville, NC (Metropolitan Statistical Area)","1","RPPs: All items",92.6
"12020","Athens-Clarke County, GA (Metropolitan Statistical Area)","1","RPPs: All items",90.8
"12060","Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)","1","RPPs: All items",96.3
"12100","Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)","1","RPPs: All items",103.5
"12220","Auburn-Opelika, AL (Metropolitan Statistical Area)","1","RPPs: All items",84.6
"12260","Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)","1","RPPs: All items",88.3
"12420","Austin-Round Rock, TX (Metropolitan Statistical Area)","1","RPPs: All items",100.0
"12540","Bakersfield, CA (Metropolitan Statistical Area)","1","RPPs: All items",96.7
"12580","Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)","1","RPPs: All items",107.2
"12620","Bangor, ME (Metropolitan Statistical Area)","1","RPPs: All items",95.7
"12700","Barnstable Town, MA (Metropolitan Statistical Area)","1","RPPs: All items",103.9
"12940","Baton Rouge, LA (Metropolitan Statistical Area)","1","RPPs: All items",93.0
"12980","Battle Creek, MI (Metropolitan Statistical Area)","1","RPPs: All items",90.6
"13020","Bay City, MI (Metropolitan Statistical Area)","1","RPPs: All items",86.9
"13140","Beaumont-Port Arthur, TX (Metropolitan Statistical Area)","1","RPPs: All items",89.8
"13220","Beckley, WV (Metropolitan Statistical Area)","1","RPPs: All items",78.8
"13380","Bellingham, WA (Metropolitan Statistical Area)","1","RPPs: All items",99.4
"13460","Bend-Redmond, OR (Metropolitan Statistical Area)","1","RPPs: All items",99.0
"13740","Billings, MT (Metropolitan Statistical Area)","1","RPPs: All items",97.5
"13780","Binghamton, NY (Metropolitan Statistical Area)","1","RPPs: All items",95.9
"13820","Birmingham-Hoover, AL (Metropolitan Statistical Area)","1","RPPs: All items",88.8
"13900","Bismarck, ND (Metropolitan Statistical Area)","1","RPPs: All items",93.9
"13980","Blacksburg-Christiansburg-Radford, VA (Metropolitan Statistical Area)","1","RPPs: All items",88.5
"14010","Bloomington, IL (Metropolitan Statistical Area)","1","RPPs: All items",93.8
"14020","Bloomington, IN (Metropolitan Statistical Area)","1","RPPs: All items",93.7
"14100","Bloomsburg-Berwick, PA (Metropolitan Statistical Area)","1","RPPs: All items",93.3
"14260","Boise City, ID (Metropolitan Statistical Area)","1","RPPs: All items",94.8
"14460","Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)","1","RPPs: All items",111.1
"14500","Boulder, CO (Metropolitan Statistical Area)","1","RPPs: All items",108.9
"14540","Bowling Green, KY (Metropolitan Statistical Area)","1","RPPs: All items",85.1
"14740","Bremerton-Silverdale, WA (Metropolitan Statistical Area)","1","RPPs: All items",106.4
"14860","Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)","1","RPPs: All items",120.1
"15180","Brownsville-Harlingen, TX (Metropolitan Statistical Area)","1","RPPs: All items",83.8
"15260","Brunswick, GA (Metropolitan Statistical Area)","1","RPPs: All items",85.6
"15380","Buffalo-Cheektowaga-Niagara Falls, NY (Metropolitan Statistical Area)","1","RPPs: All items",94.4
"15500","Burlington, NC (Metropolitan Statistical Area)","1","RPPs: All items",89.4
"15540","Burlington-South Burlington, VT (Metropolitan Statistical Area)","1","RPPs: All items",104.6
"15680","California-Lexington Park, MD (Metropolitan Statistical Area)","1","RPPs: All items",100.3
"15940","Canton-Massillon, OH (Metropolitan Statistical Area)","1","RPPs: All items",88.6
"15980","Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)","1","RPPs: All items",95.9
"16020","Cape Girardeau, MO-IL (Metropolitan Statistical Area)","1","RPPs: All items",82.7
"16060","Carbondale-Marion, IL (Metropolitan Statistical Area)","1","RPPs: All items",83.5
"16180","Carson City, NV (Metropolitan Statistical Area)","1","RPPs: All items",95.6
"16220","Casper, WY (Metropolitan Statistical Area)","1","RPPs: All items",97.6
"16300","Cedar Rapids, IA (Metropolitan Statistical Area)","1","RPPs: All items",89.3
"16540","Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)","1","RPPs: All items",94.2
"16580","Champaign-Urbana, IL (Metropolitan Statistical Area)","1","RPPs: All items",93.7
"16620","Charleston, WV (Metropolitan Statistical Area)","1","RPPs: All items",87.3
"16700","Charleston-North Charleston, SC (Metropolitan Statistical Area)","1","RPPs: All items",96.2
"16740","Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)","1","RPPs: All items",93.5
"16820","Charlottesville, VA (Metropolitan Statistical Area)","1","RPPs: All items",97.9
"16860","Chattanooga, TN-GA (Metropolitan Statistical Area)","1","RPPs: All items",89.3
"16940","Cheyenne, WY (Metropolitan Statistical Area)","1","RPPs: All items",97.4
"16980","Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)","1","RPPs: All items",103.8
"17020","Chico, CA (Metropolitan Statistical Area)","1","RPPs: All items",99.0
"17140","Cincinnati, OH-KY-IN (Metropolitan Statistical Area)","1","RPPs: All items",89.6
"17300","Clarksville, TN-KY (Metropolitan Statistical Area)","1","RPPs: All items",90.4
"17420","Cleveland, TN (Metropolitan Statistical Area)","1","RPPs: All items",83.4
"17460","Cleveland-Elyria, OH (Metropolitan Statistical Area)","1","RPPs: All items",90.2
"17660","Coeur d'Alene, ID (Metropolitan Statistical Area)","1","RPPs: All items",94.0
"17780","College Station-Bryan, TX (Metropolitan Statistical Area)","1","RPPs: All items",93.3
"17820","Colorado Springs, CO (Metropolitan Statistical Area)","1","RPPs: All items",99.6
"17860","Columbia, MO (Metropolitan Statistical Area)","1","RPPs: All items",91.4
"17900","Columbia, SC (Metropolitan Statistical Area)","1","RPPs: All items",91.8
"17980","Columbus, GA-AL (Metropolitan Statistical Area)","1","RPPs: All items",89.3
"18020","Columbus, IN (Metropolitan Statistical Area)","1","RPPs: All items",88.8
"18140","Columbus, OH (Metropolitan Statistical Area)","1","RPPs: All items",93.0
"18580","Corpus Christi, TX (Metropolitan Statistical Area)","1","RPPs: All items",93.4
"18700","Corvallis, OR (Metropolitan Statistical Area)","1","RPPs: All items",100.3
"18880","Crestview-Fort Walton Beach-Destin, FL (Metropolitan Statistical Area)","1","RPPs: All items",94.8
"19060","Cumberland, MD-WV (Metropolitan Statistical Area)","1","RPPs: All items",88.1
"19100","Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)","1","RPPs: All items",100.2
"19140","Dalton, GA (Metropolitan Statistical Area)","1","RPPs: All items",83.4
"19180","Danville, IL (Metropolitan Statistical Area)","1","RPPs: All items",80.4
"19300","Daphne-Fairhope-Foley, AL (Metropolitan Statistical Area)","1","RPPs: All items",91.3
"19340","Davenport-Moline-Rock Island, IA-IL (Metropolitan Statistical Area)","1","RPPs: All items",90.2
"19380","Dayton, OH (Metropolitan Statistical Area)","1","RPPs: All items",90.0
"19460","Decatur, AL (Metropolitan Statistical Area)","1","RPPs: All items",84.3
"19500","Decatur, IL (Metropolitan Statistical Area)","1","RPPs: All items",86.1
"19660","Deltona-Daytona Beach-Ormond Beach, FL (Metropolitan Statistical Area)","1","RPPs: All items",95.4
"19740","Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area)","1","RPPs: All items",106.0
"19780","Des Moines-West Des Moines, IA (Metropolitan Statistical Area)","1","RPPs: All items",94.5
"19820","Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)","1","RPPs: All items",95.9
"20020","Dothan, AL (Metropolitan Statistical Area)","1","RPPs: All items",84.1
"20100","Dover, DE (Metropolitan Statistical Area)","1","RPPs: All items",94.4
"20220","Dubuque, IA (Metropolitan Statistical Area)","1","RPPs: All items",91.5
"20260","Duluth, MN-WI (Metropolitan Statistical Area)","1","RPPs: All items",90.3
"20500","Durham-Chapel Hill, NC (Metropolitan Statistical Area)","1","RPPs: All items",95.2
"20700","East Stroudsburg, PA (Metropolitan Statistical Area)","1","RPPs: All items",97.1
"20740","Eau Claire, WI (Metropolitan Statistical Area)","1","RPPs: All items",91.2
"20940","El Centro, CA (Metropolitan Statistical Area)","1","RPPs: All items",89.3
"21060","Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)","1","RPPs: All items",85.3
"21140","Elkhart-Goshen, IN (Metropolitan Statistical Area)","1","RPPs: All items",90.2
"21300","Elmira, NY (Metropolitan Statistical Area)","1","RPPs: All items",95.3
"21340","El Paso, TX (Metropolitan Statistical Area)","1","RPPs: All items",88.7
"21420","Enid, OK (Metropolitan Statistical Area)2/","1","RPPs: All items",90.4
"21500","Erie, PA (Metropolitan Statistical Area)","1","RPPs: All items",92.7
"21660","Eugene, OR (Metropolitan Statistical Area)","1","RPPs: All items",97.8
"21780","Evansville, IN-KY (Metropolitan Statistical Area)","1","RPPs: All items",89.4
"21820","Fairbanks, AK (Metropolitan Statistical Area)","1","RPPs: All items",106.6
"22020","Fargo, ND-MN (Metropolitan Statistical Area)","1","RPPs: All items",92.6
"22140","Farmington, NM (Metropolitan Statistical Area)","1","RPPs: All items",91.0
"22180","Fayetteville, NC (Metropolitan Statistical Area)","1","RPPs: All items",89.9
"22220","Fayetteville-Springdale-Rogers, AR-MO (Metropolitan Statistical Area)","1","RPPs: All items",89.5
"22380","Flagstaff, AZ (Metropolitan Statistical Area)","1","RPPs: All items",98.0
"22420","Flint, MI (Metropolitan Statistical Area)","1","RPPs: All items",90.4
"22500","Florence, SC (Metropolitan Statistical Area)","1","RPPs: All items",85.5
"22520","Florence-Muscle Shoals, AL (Metropolitan Statistical Area)","1","RPPs: All items",84.2
"22540","Fond du Lac, WI (Metropolitan Statistical Area)","1","RPPs: All items",87.1
"22660","Fort Collins, CO (Metropolitan Statistical Area)","1","RPPs: All items",101.9
"22900","Fort Smith, AR-OK (Metropolitan Statistical Area)","1","RPPs: All items",84.6
"23060","Fort Wayne, IN (Metropolitan Statistical Area)","1","RPPs: All items",89.9
"23420","Fresno, CA (Metropolitan Statistical Area)","1","RPPs: All items",96.3
"23460","Gadsden, AL (Metropolitan Statistical Area)","1","RPPs: All items",83.3
"23540","Gainesville, FL (Metropolitan Statistical Area)","1","RPPs: All items",94.3
"23580","Gainesville, GA (Metropolitan Statistical Area)","1","RPPs: All items",88.5
"23900","Gettysburg, PA (Metropolitan Statistical Area)","1","RPPs: All items",96.1
"24020","Glens Falls, NY (Metropolitan Statistical Area)","1","RPPs: All items",96.4
"24140","Goldsboro, NC (Metropolitan Statistical Area)","1","RPPs: All items",86.8
"24220","Grand Forks, ND-MN (Metropolitan Statistical Area)","1","RPPs: All items",93.2
"24260","Grand Island, NE (Metropolitan Statistical Area)","1","RPPs: All items",85.9
"24300","Grand Junction, CO (Metropolitan Statistical Area)","1","RPPs: All items",94.0
"24340","Grand Rapids-Wyoming, MI (Metropolitan Statistical Area)","1","RPPs: All items",93.5
"24420","Grants Pass, OR (Metropolitan Statistical Area)","1","RPPs: All items",93.4
"24500","Great Falls, MT (Metropolitan Statistical Area)","1","RPPs: All items",92.6
"24540","Greeley, CO (Metropolitan Statistical Area)","1","RPPs: All items",99.2
"24580","Green Bay, WI (Metropolitan Statistical Area)","1","RPPs: All items",91.1
"24660","Greensboro-High Point, NC (Metropolitan Statistical Area)","1","RPPs: All items",89.8
"24780","Greenville, NC (Metropolitan Statistical Area)","1","RPPs: All items",88.1
"24860","Greenville-Anderson-Mauldin, SC (Metropolitan Statistical Area)","1","RPPs: All items",89.6
"25060","Gulfport-Biloxi-Pascagoula, MS (Metropolitan Statistical Area)","1","RPPs: All items",89.2
"25180","Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)","1","RPPs: All items",100.5
"25220","Hammond, LA (Metropolitan Statistical Area)","1","RPPs: All items",85.3
"25260","Hanford-Corcoran, CA (Metropolitan Statistical Area)","1","RPPs: All items",94.1
"25420","Harrisburg-Carlisle, PA (Metropolitan Statistical Area)","1","RPPs: All items",96.6
"25500","Harrisonburg, VA (Metropolitan Statistical Area)","1","RPPs: All items",88.6
"25540","Hartford-West Hartford-East Hartford, CT (Metropolitan Statistical Area)","1","RPPs: All items",101.5
"25620","Hattiesburg, MS (Metropolitan Statistical Area)","1","RPPs: All items",82.1
"25860","Hickory-Lenoir-Morganton, NC (Metropolitan Statistical Area)","1","RPPs: All items",86.7
"25940","Hilton Head Island-Bluffton-Beaufort, SC (Metropolitan Statistical Area)","1","RPPs: All items",94.6
"25980","Hinesville, GA (Metropolitan Statistical Area)","1","RPPs: All items",90.3
"26140","Homosassa Springs, FL (Metropolitan Statistical Area)","1","RPPs: All items",87.4
"26300","Hot Springs, AR (Metropolitan Statistical Area)","1","RPPs: All items",85.2
"26380","Houma-Thibodaux, LA (Metropolitan Statistical Area)","1","RPPs: All items",90.8
"26420","Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)","1","RPPs: All items",101.6
"26580","Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)","1","RPPs: All items",86.0
"26620","Huntsville, AL (Metropolitan Statistical Area)","1","RPPs: All items",89.4
"26820","Idaho Falls, ID (Metropolitan Statistical Area)","1","RPPs: All items",89.8
"26900","Indianapolis-Carmel-Anderson, IN (Metropolitan Statistical Area)","1","RPPs: All items",92.8
"26980","Iowa City, IA (Metropolitan Statistical Area)","1","RPPs: All items",95.7
"27060","Ithaca, NY (Metropolitan Statistical Area)","1","RPPs: All items",106.4
"27100","Jackson, MI (Metropolitan Statistical Area)","1","RPPs: All items",89.6
"27140","Jackson, MS (Metropolitan Statistical Area)","1","RPPs: All items",90.1
"27180","Jackson, TN (Metropolitan Statistical Area)","1","RPPs: All items",82.1
"27260","Jacksonville, FL (Metropolitan Statistical Area)","1","RPPs: All items",95.8
"27340","Jacksonville, NC (Metropolitan Statistical Area)","1","RPPs: All items",92.7
"27500","Janesville-Beloit, WI (Metropolitan Statistical Area)","1","RPPs: All items",91.7
"27620","Jefferson City, MO (Metropolitan Statistical Area)","1","RPPs: All items",82.2
"27740","Johnson City, TN (Metropolitan Statistical Area)","1","RPPs: All items",88.0
"27780","Johnstown, PA (Metropolitan Statistical Area)","1","RPPs: All items",86.7
"27860","Jonesboro, AR (Metropolitan Statistical Area)","1","RPPs: All items",81.8
"27900","Joplin, MO (Metropolitan Statistical Area)","1","RPPs: All items",87.8
"27980","Kahului-Wailuku-Lahaina, HI (Metropolitan Statistical Area)","1","RPPs: All items",106.5
"28020","Kalamazoo-Portage, MI (Metropolitan Statistical Area)","1","RPPs: All items",91.2
"28100","Kankakee, IL (Metropolitan Statistical Area)","1","RPPs: All items",96.3
"28140","Kansas City, MO-KS (Metropolitan Statistical Area)","1","RPPs: All items",93.7
"28420","Kennewick-Richland, WA (Metropolitan Statistical Area)","1","RPPs: All items",97.1
"28660","Killeen-Temple, TX (Metropolitan Statistical Area)","1","RPPs: All items",91.6
"28700","Kingsport-Bristol-Bristol, TN-VA (Metropolitan Statistical Area)","1","RPPs: All items",85.1
"28740","Kingston, NY (Metropolitan Statistical Area)","1","RPPs: All items",103.6
"28940","Knoxville, TN (Metropolitan Statistical Area)","1","RPPs: All items",88.5
"29020","Kokomo, IN (Metropolitan Statistical Area)","1","RPPs: All items",85.7
"29100","La Crosse-Onalaska, WI-MN (Metropolitan Statistical Area)","1","RPPs: All items",93.1
"29180","Lafayette, LA (Metropolitan Statistical Area)","1","RPPs: All items",88.7
"29200","Lafayette-West Lafayette, IN (Metropolitan Statistical Area)","1","RPPs: All items",92.1
